Picture,Valence,pleasure_mean,arousal_mean,dominance_mean,pleasure_mean_female,arousal_mean_female,dominance_mean_female,pleasure_mean_male,arousal_mean_male,dominance_mean_male,RT_mean,LogRT_mean,RT_mean_female,LogRT_mean_female,RT_mean_male,LogRT_mean_male,RT_mean_con,LogRT_mean_con,RT_mean_incon,LogRT_mean_incon,RT_mean_con_female,LogRT_mean_con_female,RT_mean_incon_female,LogRT_mean_incon_female,RT_mean_con_male,LogRT_mean_con_male,RT_mean_incon_male,LogRT_mean_incon_male
1,positive,7.775862068965517,4.655172413793103,6.051724137931035,7.548387096774194,4.903225806451613,5.838709677419355,8.037037037037036,4.37037037037037,6.296296296296297,0.9868033300746571,-0.02430122820480004,1.0475975573062897,-0.0013716284714241317,0.9237574647974085,-0.04808007237274541,0.9571792085965477,-0.03411582943433808,1.0223522758483885,-0.012523706729354378,0.9547467693205806,-0.037052342699785794,1.162732534408569,0.042872457171744344,0.9597794023053403,-0.030976798012652594,0.8819720172882078,-0.0679198706304531
2,positive,7.517857142857143,3.5714285714285716,6.232142857142857,7.67741935483871,3.2903225806451615,6.129032258064516,7.32,3.92,6.36,0.8973997820407974,-0.06675261999652962,0.9099082903428513,-0.059053552274070005,0.8846596346961128,-0.07459426304718296,0.8922869972154205,-0.07265363141013673,0.9018955066286287,-0.06156379961559925,0.9063736597696936,-0.06150930165077561,0.9120914445203898,-0.05753676589434008,0.8824263334274292,-0.0804546622416895,0.887451261281967,-0.06726876405404976
3,positive,7.448275862068965,2.603448275862069,6.896551724137931,7.258064516129032,2.5161290322580645,6.612903225806452,7.666666666666667,2.7037037037037037,7.222222222222222,0.9429438000633603,-0.03999139059798204,0.945271571477254,-0.03439696381764309,0.9404791009192374,-0.04591490130657624,0.9032404341940155,-0.058585950183689055,0.9938676823740419,-0.016141846781531743,0.893884067182188,-0.05406044075515526,0.9966590757723203,-0.01473348688013091,0.9111348688602446,-0.06240434876401445,0.989900965439646,-0.018143200325627676
4,positive,7.0,4.5423728813559325,5.830508474576271,7.09375,4.75,5.5625,6.888888888888889,4.296296296296297,6.148148148148148,1.0529340351069416,0.0009158417159184545,1.0722130846094202,0.010198302975207423,1.0336549856044628,-0.008366619543370512,0.9863190075446817,-0.020209388303522723,1.1302074670791629,0.02542110853847021,1.0295288870411534,-0.00043946817265899755,1.1297439595927365,0.024536168435375205,0.9367076644191032,-0.0429081854908107,1.1306023067898225,0.026174946404069675
5,positive,6.775862068965517,4.189655172413793,6.172413793103448,6.6875,4.1875,5.90625,6.884615384615385,4.1923076923076925,6.5,0.98489027203254,-0.042978782557107714,1.0195554751975866,-0.03130308807524334,0.952746174552224,-0.05380533562210923,0.9237029274304708,-0.06581677549707607,1.0646998519482822,-0.013190096113670741,0.9503626515788416,-0.05901553227363286,1.126804351806641,0.011651200432260422,0.8952046016166949,-0.07308706997730846,1.016927159749545,-0.03229878576438703
6,positive,7.0181818181818185,2.2363636363636363,7.090909090909091,7.233333333333333,2.5,6.866666666666666,6.76,1.92,7.36,0.9452289263407389,-0.04697268753970032,1.0234234716211046,-0.016823014148571767,0.8558637317346064,-0.08142945712956152,0.8974654793739316,-0.06728640781605,1.0089135222964816,-0.01988772717123407,0.9222433226449145,-0.05593083028025985,1.192057053248088,0.0483566794042417,0.8627764987945554,-0.08318421636615624,0.8486629327138262,-0.07960158292477539
7,positive,6.637931034482759,2.2758620689655173,6.827586206896552,6.5625,2.3125,6.625,6.730769230769231,2.230769230769231,7.076923076923077,0.9206060114360989,-0.05986194799484699,0.9696026765383203,-0.04467555434344968,0.8725338117131645,-0.07476180591697267,0.8172098810022524,-0.09721216002109082,1.0343417549133298,-0.018776714765978805,0.7973714058215802,-0.10687585799986579,1.1418339472550605,0.01752474931296645,0.8349961001297518,-0.08854815493667181,0.9178918798764547,-0.058103300851502816
8,positive,6.666666666666667,3.0,5.807017543859649,6.67741935483871,2.870967741935484,5.612903225806452,6.653846153846154,3.1538461538461537,6.038461538461538,0.9344011068344118,-0.04242126826080269,0.9417816198097088,-0.03744579482009094,0.9260784007133324,-0.04803190852373296,0.9061785505173057,-0.05296704263296654,0.9594286567759964,-0.03306935513831778,0.9623465227044153,-0.024842673023610696,0.9260151942571003,-0.04710818819739246,0.852350910504659,-0.07991956350859919,1.0030114339745564,-0.014757833756916021
9,positive,7.25,3.8035714285714284,5.982142857142857,7.482758620689655,3.9655172413793105,5.655172413793103,7.0,3.6296296296296298,6.333333333333333,0.996530586055347,-0.026294555220565778,1.0766684185374864,0.0009288872198647678,0.9192046073445105,-0.052562789154314546,0.8920248526114007,-0.0645367614422724,1.0938290275376417,0.00931025746860934,0.9269438328281528,-0.05265823290415264,1.270062675078709,0.07014558404672058,0.8449601401453436,-0.08054695208060768,0.969428805743947,-0.03363232599829272
10,positive,6.779661016949152,5.220338983050848,5.813559322033898,6.84375,5.09375,5.75,6.703703703703703,5.37037037037037,5.888888888888889,0.9833870045492581,-0.034159800399989185,1.044741458363003,-0.010146644413823937,0.92087491953148,-0.05862603480098774,0.9768889328790088,-0.03650133288596695,0.9926910617134787,-0.030807151613248308,1.0084530255373787,-0.02403895653831885,1.106431794166565,0.013470286197817408,0.939882755279541,-0.05111239481079572,0.8979071180025732,-0.06770501645580308
