Participant,Gender,Picture,Valence,Pleasure,Arousal,Dominance
0,female,22,positive,5.0,5.0,5.0
0,female,13,positive,9.0,8.0,8.0
0,female,70,negative,2.0,8.0,2.0
0,female,17,positive,6.0,6.0,4.0
0,female,84,negative,1.0,8.0,1.0
0,female,41,positive,6.0,6.0,5.0
0,female,32,positive,9.0,7.0,9.0
0,female,61,negative,1.0,9.0,1.0
0,female,3,positive,7.0,1.0,7.0
0,female,87,negative,1.0,7.0,3.0
0,female,49,negative,1.0,9.0,1.0
0,female,81,negative,1.0,9.0,1.0
0,female,82,negative,1.0,7.0,1.0
0,female,53,negative,1.0,9.0,1.0
0,female,45,negative,1.0,3.0,4.0
0,female,48,negative,1.0,9.0,1.0
0,female,9,positive,9.0,7.0,9.0
0,female,26,positive,9.0,5.0,5.0
0,female,74,negative,1.0,6.0,1.0
0,female,20,positive,7.0,5.0,5.0
0,female,6,positive,9.0,3.0,9.0
0,female,14,positive,9.0,7.0,9.0
0,female,71,negative,3.0,9.0,6.0
0,female,58,negative,1.0,7.0,1.0
0,female,5,positive,5.0,5.0,5.0
0,female,8,positive,8.0,2.0,8.0
0,female,27,positive,8.0,5.0,5.0
0,female,73,negative,1.0,2.0,2.0
0,female,59,negative,1.0,6.0,1.0
0,female,4,positive,9.0,6.0,6.0
0,female,1,positive,9.0,9.0,5.0
0,female,33,positive,9.0,9.0,5.0
0,female,30,positive,9.0,7.0,5.0
0,female,11,positive,5.0,5.0,5.0
0,female,18,positive,8.0,7.0,6.0
0,female,75,negative,1.0,6.0,3.0
0,female,42,positive,7.0,5.0,5.0
0,female,43,positive,7.0,5.0,5.0
0,female,65,negative,1.0,4.0,2.0
0,female,39,positive,9.0,7.0,6.0
0,female,78,negative,1.0,3.0,3.0
0,female,28,positive,8.0,6.0,6.0
0,female,77,negative,1.0,8.0,2.0
0,female,46,negative,2.0,8.0,1.0
0,female,66,negative,1.0,7.0,1.0
0,female,35,positive,7.0,5.0,5.0
0,female,51,negative,2.0,5.0,4.0
0,female,83,negative,5.0,5.0,5.0
0,female,40,positive,7.0,6.0,5.0
0,female,2,positive,6.0,5.0,5.0
0,female,72,negative,2.0,6.0,2.0
0,female,55,negative,1.0,8.0,1.0
0,female,16,positive,8.0,2.0,8.0
0,female,86,negative,3.0,5.0,5.0
0,female,67,negative,1.0,9.0,1.0
0,female,54,negative,2.0,5.0,3.0
0,female,57,negative,1.0,7.0,2.0
0,female,31,positive,5.0,5.0,5.0
0,female,38,positive,8.0,8.0,8.0
0,female,68,negative,1.0,9.0,6.0
0,female,10,positive,5.0,5.0,5.0
0,female,64,negative,2.0,6.0,3.0
0,female,69,negative,1.0,8.0,1.0
0,female,80,negative,1.0,7.0,1.0
0,female,52,negative,1.0,7.0,1.0
0,female,24,positive,7.0,5.0,6.0
0,female,88,negative,2.0,5.0,4.0
0,female,23,positive,9.0,7.0,8.0
0,female,50,negative,2.0,7.0,3.0
0,female,19,positive,6.0,5.0,5.0
0,female,15,positive,8.0,5.0,6.0
0,female,29,positive,8.0,6.0,7.0
0,female,44,positive,7.0,5.0,5.0
0,female,36,positive,7.0,5.0,6.0
0,female,62,negative,3.0,5.0,4.0
0,female,7,positive,7.0,5.0,6.0
0,female,37,positive,8.0,6.0,6.0
0,female,63,negative,4.0,5.0,5.0
0,female,21,positive,5.0,5.0,5.0
0,female,85,negative,2.0,6.0,3.0
0,female,25,positive,5.0,5.0,5.0
0,female,60,negative,4.0,6.0,5.0
0,female,47,negative,3.0,7.0,3.0
0,female,12,positive,5.0,5.0,5.0
0,female,79,negative,1.0,8.0,1.0
0,female,76,negative,1.0,7.0,3.0
0,female,34,positive,8.0,4.0,6.0
